Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Sales180Day,Positive Feedback,Promotion Url,Sent
https://ae-pic-a1.aliexpress-media.com/kf/Saedcf2b8eda54aceb1e8cb680b4f5c18C.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/254731177/p/1/e/6/t/10301/1100199184787.mp4,1 Pair Sports Compression Socks for Women and Men - Calf Support Socks for Running Nurses Flight Pregnancy Circulation Athletic,USD 2.82,USD 2.32,17%,2185,93.7%,https://s.click.aliexpress.com/e/_oBQpOUH,No
https://ae-pic-a1.aliexpress-media.com/kf/S263f3361335d4efcb1aaacc4ff979d66Q.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/233097124/p/1/e/6/t/10301/1100166033507.mp4,Hearuisavy Sports Shirts Breathable Workout Tops Fitness Sportswear Female Backless Yoga Clothing Sport Crop Tops Women Gym Top,USD 8.17,USD 6.77,17%,3088,93.6%,https://s.click.aliexpress.com/e/_oFhsM7j,No
https://ae-pic-a1.aliexpress-media.com/kf/S939b380ceb9c4816b66efa133adfddb6M.jpg,,Silicone Cycling Aero Socks Anti Socks Slip Men Bicycle Sport Running Bike Socks,USD 2.79,USD 2.29,17%,2349,94.7%,https://s.click.aliexpress.com/e/_oocByUl,No
https://ae-pic-a1.aliexpress-media.com/kf/S73b2d42097bc4fcfac3085507ac8b1f63.jpg,,Soft Lure Shad Tail 75mm With Or Without Hook Fish Artificial Silicone Soft Fish Fork Tail Catfish Bait For Fishing Tackle,USD 1.38,USD 1.14,17%,276,94.8%,https://s.click.aliexpress.com/e/_onhaviN,No
https://ae-pic-a1.aliexpress-media.com/kf/Hf562f475b5de4b9ca5a91a453737c26bI.jpg,,For 2013-2023 Beta RR 300 Folding Brake Pedal Step Tip Plate RR 250 390 430 450 480 500 X-Ttrainer 300 For KTM GasGas Sherco,USD 8.92,USD 7.42,16%,87,98.3%,https://s.click.aliexpress.com/e/_oEfZV1b,No
https://ae-pic-a1.aliexpress-media.com/kf/S60641b722e9949c5a667154a03309a9dn.jpg,,New Yoga Outfit Set Women's Fashionable Fitness Suit 2PCS Set Yoga Running Leggings Sports Bras Shorts Sportswear Clothing Suit,USD 10.71,USD 8.99,16%,89,98.5%,https://s.click.aliexpress.com/e/_ok8Wbp3,No
https://ae-pic-a1.aliexpress-media.com/kf/S3d55ae80c88b4048aea0369d90e914f2s.png,,Soccer Socks for Kid Boys Girls 4-12 Years Athletic Football Baseball Children Youth Knee High Stripes Tube Socks,USD 3.00,USD 2.50,16%,147,98.5%,https://s.click.aliexpress.com/e/_oFlAbxX,No
https://ae-pic-a1.aliexpress-media.com/kf/S7f74396abe1c4e8bac8905b0732d7172B.jpg,,Swimming PVC Pack Dry Bag Backpack for Women Men 10L 20L Waterproof Shoulder Kayak Trekking Drifting Rafting Surfing Boating Bag,USD 13.48,USD 11.26,16%,51,93.3%,https://s.click.aliexpress.com/e/_oBSNs9P,No
https://ae-pic-a1.aliexpress-media.com/kf/S727b00161f04470bb1d3a554283303c4U.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2683154020/p/1/e/6/t/10301/4000217712354.mp4,"1Pair Running Grip Socks,Varicose Veins Compression Stockings,Sports Stockings For Women Men Running Football Yoga Accessories",USD 3.21,USD 2.71,15%,115,99.2%,https://s.click.aliexpress.com/e/_oBLOr7r,No
https://ae-pic-a1.aliexpress-media.com/kf/Sb44058210e3d42f19b8330f99ff73110g.jpg,,Brand New Professional Sports Socks Breathable Road Bike Bicycle Socks Outdoor Sports Running Racing Cycling Socks,USD 3.17,USD 2.67,15%,322,95.7%,https://s.click.aliexpress.com/e/_oCjoo4H,No
https://ae-pic-a1.aliexpress-media.com/kf/S600614bf4e1246c484d15b26f436c606F.jpg,,DAREVIE Cycling Socks Breathable Free Size High Quality Outdoor Sports Socks Road MTB Comfortable For Man Women Cycling Socks,USD 3.15,USD 2.65,15%,307,96.9%,https://s.click.aliexpress.com/e/_oDYUslX,No
https://ae-pic-a1.aliexpress-media.com/kf/Sdd63c89190fa482b9eff47875c811aada.jpg,,Number Kids Soccer Socks 10# Star 7# Mid-tube Boys Cycling Socks Outdoor Towel Bottom Fashion Men's Sport Football Short Socks,USD 3.33,USD 2.83,15%,613,91.3%,https://s.click.aliexpress.com/e/_omKxegz,No
https://ae-pic-a1.aliexpress-media.com/kf/Sc70d776092054b5993fa6eec2faf0f13u.jpg,,KAILAS Thick Fleece Hooded Jacket Men Polarmate 300 Antistatic Fall Winter Warm Full-Zip Hiking Camping Outwear Jacket KG2332121,USD 333.58,USD 283.54,15%,33,100.0%,https://s.click.aliexpress.com/e/_opmq6dn,No
https://ae-pic-a1.aliexpress-media.com/kf/S911f76b18f8647b29d9f05228b79e0e6w.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2675832072/p/1/e/6/t/10301/4000181078520.mp4,KAILAS Outdoor Sports Short Sleeve Hiking T-shirt Men Summer Mountaineering O-Neck Top Functional Tee Climbing Clothes KG2317521,USD 52.23,USD 44.40,15%,14,100.0%,https://s.click.aliexpress.com/e/_om8GP3B,No
https://ae-pic-a1.aliexpress-media.com/kf/Scd4c572598464963ad461bb41f2c130bt.jpg,,Gym Men T Shirt Casual Long Sleeve Slim Tops Tees Elastic T-shirt Sports Fitness Thin Comfort Breathable Quick Dry Hooded,USD 10.59,USD 8.99,15%,102,92.4%,https://s.click.aliexpress.com/e/_om6d6gl,No
https://ae-pic-a1.aliexpress-media.com/kf/S19a3fffd7880418b80d4568bcd25fc08n.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/17290790214/p/1/e/6/t/10301/305395011239.mp4,INKBIRD Culinary Sous Vide ISV-200W Wi-Fi Precision Cooker Powerful&Durable Immersion Circulator with Stainless Steel Components,USD 106.99,USD 90.94,15%,1540,96.9%,https://s.click.aliexpress.com/e/_ombap2z,No
